小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
聖公會馬鞍山主風小學,2025,120,67,55.83%,聖公會曾肇添中學(Band 1A):24人; 浸信會呂明才中學(Band 1A):2人; 沙田崇真中學(Band 1A):6人; 沙田蘇浙公學(Band 1B):2人; 沙田培英中學(Band 1B):2人
基督教宣道會徐澤林紀念小學,2025,120,56,46.67%,協恩中學(Band 1A):1人; 聖保羅書院(Band 1A):1人; 聖保祿學校(Band 1A):1人; 聖公會林護紀念中學(Band 1A):1人; 香港道教聯合會鄧顯紀念中學(Band 1A):1人
大埔舊墟公立學校(寶湖道),2025,141,85,60.28%,聖保羅男女中學(Band 1A):2人; 喇沙書院(Band 1A):2人; 協恩中學(Band 1A):1人; 瑪利諾修院學校（中學部）(Band 1A):1人; 德望學校(Band 1A):2人
聖公會青衣邨何澤芸小學,2024,120,46,38.33%,聖公會林護紀念中學(Band 1A):4人; 協恩中學(Band 1A):1人; 荃灣官立中學(Band 1A):1人; 英華女學校(Band 1A):1人; 英皇書院(Band 1A):1人
聖公會青衣邨何澤芸小學,2025,120,44,36.67%,聖公會林護紀念中學(Band 1A):2人; 佛教善德英文中學(Band 1A):11人; 荃灣官立中學(Band 1A):1人; 可風中學(嗇色園主辦)(Band 1B):1人; 中華傳道會安柱中學(Band 1B):4人
聖公會奉基小學,2023,96,69,71.88%,聖保羅男女中學(Band 1A):1人; 拔萃女書院(Band 1A):1人; 喇沙書院(Band 1A):1人; 聖保羅書院(Band 1A):1人; 協恩中學(Band 1A):1人
聖公會奉基小學,2024,96,49,51.04%,喇沙書院(Band 1A):1人; 嘉諾撒聖瑪利書院(Band 1A):2人; 瑪利諾修院學校(中學部)(Band 1A):1人; 聖士提反女子中學(Band 1A):1人; 德望學校(Band 1A):1人
聖公會奉基小學,2025,96,59,61.46%,聖保羅男女中學(Band 1A):1人; 拔萃女書院(Band 1A):1人; 協恩中學(Band 1A):2人; 嘉諾撒聖瑪利書院(Band 1A):1人; 德望學校(Band 1A):1人
荔枝角天主教小學,2025,120,84,70.0%,寶血會上智英文書院(Band 1A):11人; 天主教崇德英文書院(Band 1A):2人; 協恩中學(Band 1A):1人; 聖公會林護紀念中學(Band 1A):1人; 喇沙書院(Band 1A):3人
深水埗官立小學,2024,120,7,5.83%,荃湾官立中学(Band 1A):7人; 宝血会上智英文书院(Band 1A):0人; 中华基督教会铭贤书院(Band 1B):0人; 沙田官立中学(Band 1B):0人; 圣母玫瑰书院(Band 1B):0人
大角嘴天主教小学（海帆道）,2025,120,77,64.17%,喇沙书院(Band 1A):1人; 英皇书院(Band 1A):1人; 宝血会上智英文书院(Band 1A):2人; 圣保禄学校(Band 1A):1人; 嘉诺撒圣玛利书院(Band 1A):1人
中华基督教会协和小学,2025,120,98,81.67%,华英中学(Band 1A):2人; 协恩中学(Band 1A):1人; 英皇书院(Band 1A):1人; 迦密中学(Band 1A):1人; 旅港开平商会中学(Band 1A):1人
旅港開平商會學校,2023,96,88,91.67%,寶血會上智英文書院(Band 1A):14人; 旅港開平商會中學(Band 1A):12人; 協恩中學(Band 1A):2人; 聖保羅書院(Band 1A):1人; 佛教善德英文中學(Band 1A):1人
旅港開平商會學校,2024,96,73,76.04%,寶血會上智英文書院(Band 1A):13人; 旅港開平商會中學(Band 1A):10人; 聖公會林護紀念中學(Band 1A):2人; 英華女學校(Band 1A):2人; 聖保羅男女中學(Band 1A):1人
